track_id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
4se25yP3bMpaMAlcxvyJ5Q,Violin (feat. Dear Silas),Vanice,Dear Silas,7/30/2021,109714,71,0.83,0.0695,0.875,0.000877,0.117,-4.212,0.094,139.9,4
4gMyCZA8aerwcDk6g4kpT0,Nothing Else,Nothing Else,Mighty Mark,12/10/2021,187445,23,0.587,0.27,0.638,2.25E-05,0.0848,-7.405,0.101,137.06,4
3nzZ2iEy316fM5ZQ9Jpbxy,COME THRU,COME THRU,Dapper Dan Midas,11/26/2021,189518,23,0.852,0.00216,0.884,0,0.0582,-5.394,0.17,133.039,4
6hi2SU53dvRJcko8Esqt7g,Unavailable,Unavailable,R3LL,9/22/2021,201460,37,0.753,0.212,0.799,0.794,0.139,-7.95,0.034,137.051,4
3KAsxrlMdJfslK4vZsDedO,Lei do Baile,Lei do Baile,Deekapz,11/10/2021,212016,29,0.898,0.0206,0.52,0.042,0.23,-13.25,0.255,120.001,4
0x754YEyX1foz1WkbRF4uY,Betty Bussit (feat. Soaky Siren & Tank and The Bangas),Betty Bussit (feat. Soaky Siren & Tank and The Bangas),Tank and The Bangas,6/25/2021,176346,40,0.726,0.0374,0.931,3.06E-05,0.747,-5.025,0.247,177.975,4
6jZXep6N4A3xbSTVxHAEBh,TWITCH,TWITCH,BAMBII,11/29/2021,190640,34,0.571,0.0403,0.705,0.0529,0.0888,-7.965,0.251,107.177,4
2ef86L53IXDgx6iyIALdQS,Shake My Ass,Nights Into Mornings EP,Zfrek,7/2/2021,166975,27,0.781,0.000574,0.877,0.0207,0.121,-7.081,0.0896,137.98,4
7oJfSplYb4omWhFM5ttmcf,Jump Out,Jump Out,TT The Artist,10/29/2021,185000,39,0.745,0.0466,0.693,1.84E-05,0.102,-6.732,0.312,159.946,4
31szi24yMz41kl2oz87mlW,Let Me Catch My Breath - Baltimega Remix,Let Me Catch My Breath (Baltimega Remix),Baltimega,9/21/2021,209077,19,0.916,0.242,0.782,0.624,0.0852,-7.767,0.18,129.981,4
