track_id,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
5Z3mR4zAX4K3krt4JAOpmx,179674,63,0.79,0.272,0.5760000000000001,0.0,0.0925,-6.9910000000000005,0.0923,103.01100000000001,4,1
7CvtBcThQ4piVKkfUXieig,185880,59,0.745,0.215,0.69,0.0,0.0779,-7.063,0.0628,95.022,4,1
0R9w5Wzo3XV9t1l7wrjRUj,316302,11,0.807,0.00232,0.7090000000000001,0.7859999999999999,0.0445,-11.360999999999999,0.0528,128.011,4,1
76lKiC3CvQsYjmuWki4Sgv,273267,24,0.595,0.0016,0.89,0.4,0.29600000000000004,-7.212000000000001,0.0441,130.006,4,1
45sT8X7QEv7i0YPPXJShOJ,277368,30,0.7,0.0365,0.775,0.564,0.115,-8.006,0.0866,130.002,4,1
5wf74zcM2rvFuLPA1ybEY5,266471,27,0.703,0.1,0.71,0.872,0.0955,-11.344000000000001,0.0347,128.001,4,1
2FeBslNBMdR9V58uv6hd2t,195950,77,0.79,0.377,0.67,2.32e-06,0.11900000000000001,-5.527,0.105,139.95600000000002,4,1
7pj6P5WnxkZsw3XRc8eMe1,283642,71,0.7759999999999999,0.6709999999999999,0.431,0.0,0.153,-7.544,0.091,133.999,4,1
7GfaFFOy3CR9HL04se6sCz,363760,3,0.804,5.8099999999999996e-05,0.983,0.961,0.0762,-8.705,0.0693,129.981,4,1
39uywJFhLNuhjDDeVXcK1h,383815,12,0.852,2.7699999999999996e-05,0.748,0.722,0.691,-7.705,0.122,129.828,4,1
1J0ESh95fbHzXOhqnBCiXG,132603,44,0.6409999999999999,0.0012,0.72,0.0,0.182,-6.372999999999999,0.315,79.377,4,1
3gXEV6Ud9DP0nJB30UZkBH,399403,33,0.433,0.851,0.311,0.000391,0.114,-12.418,0.0477,171.864,4,1
4wgE9XKaHBl9E42jK7AgVu,461538,46,0.805,0.00118,0.648,0.769,0.0672,-8.357000000000001,0.10800000000000001,130.02,4,1
0y6CoVW1ZSBqRmPbyfhFQs,174417,59,0.708,0.23600000000000002,0.872,0.0661,0.10800000000000001,-6.718999999999999,0.0336,140.063,4,1
69Vj6p4PTVozM1yXSHQJ68,417000,10,0.807,0.00483,0.8270000000000001,0.774,0.0651,-11.435,0.0544,127.00399999999999,4,1
2vxMgCp6jckeLc0KTGpEBd,395491,41,0.7120000000000001,0.000956,0.934,0.643,0.10800000000000001,-8.023,0.0589,138.006,4,1
1NaDhOd9SH3Q81ZUotAoI8,304264,36,0.7290000000000001,5.01e-05,0.845,0.846,0.183,-6.324,0.0688,137.999,4,1
7cdG5Q9KkEphwI5FcenOUV,280738,41,0.706,0.000171,0.75,0.8859999999999999,0.0619,-6.954,0.0524,117.977,4,1
350l5Tkctw6RMcIdl7MlaS,266011,57,0.7490000000000001,0.245,0.6990000000000001,4.74e-05,0.122,-6.687,0.0428,124.00299999999999,4,1
6MGAUxE3nog8ZTYEFsqcPY,525281,25,0.741,0.00633,0.604,0.8640000000000001,0.128,-10.107999999999999,0.0378,119.992,4,1
0tmrnhOqNToUzofdajYEr4,184013,21,0.81,0.00627,0.9259999999999999,0.848,0.27699999999999997,-8.876,0.141,125.195,4,1
2M3irqV26PrIiqMaUCXbhC,349991,7,0.7390000000000001,0.000478,0.8959999999999999,0.865,0.183,-8.59,0.0455,127.001,4,1
6Ge7rbKIU298hRwwkOXuhE,449483,14,0.7609999999999999,0.13699999999999998,0.9440000000000001,0.615,0.0574,-6.466,0.0679,123.001,4,1
1eH4zWaaU1p5AfsoJbQYrX,410686,8,0.795,0.00454,0.977,0.912,0.079,-7.0,0.081,127.992,4,1
3RJzXN8dIzUH6NQsyIqlhM,255484,12,0.634,0.000434,0.992,0.9009999999999999,0.484,-8.711,0.0463,123.99799999999999,4,1
5OnNFaUjue55aBaKIaT63K,227680,53,0.875,0.16399999999999998,0.938,0.0,0.51,-4.272,0.11599999999999999,131.986,4,1
35PUhhwZL4HhmuqgOeFcfg,250053,55,0.635,0.0008210000000000001,0.8490000000000001,0.618,0.193,-5.33,0.0346,119.994,4,1
5GtjAEu60olwhCfORjxAei,351060,15,0.741,0.00115,0.946,0.858,0.0861,-7.968,0.0456,126.984,4,1
1u00EMt2762l5buwd6uQAK,186964,53,0.643,0.000254,0.887,0.39399999999999996,0.0557,-10.206,0.0407,123.958,4,1
